Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,
The OA,2016,16+,7.9,84%,1,0,0,0,1,
Outer Banks,2020,18+,7.6,72%,1,0,0,0,1,
The Midnight Gospel,2020,18+,8.4,90%,1,0,0,0,1,
Good Girls,2018,16+,7.9,87%,1,1,0,0,1,
Chilling Adventures of Sabrina,2018,16+,7.6,84%,1,0,0,0,1,
Doctor Foster,2015,16+,7.7,85%,1,0,0,0,1,
Gilmore Girls,2000,16+,8.1,85%,1,0,0,0,1,
iZombie,2015,16+,7.9,91%,1,0,0,0,1,
Anne with an E,2017,7+,8.6,62%,1,0,0,0,1,
A Series of Unfortunate Events,2017,7+,7.8,96%,1,0,0,0,1,
Neon Genesis Evangelion,1995,16+,8.5,100%,1,0,0,0,1,
Into the Badlands,2015,16+,8,83%,1,0,0,0,1,
Monty Python's Flying Circus,1969,16+,8.8,100%,1,0,0,0,1,
Jane the Virgin,2014,7+,7.8,100%,1,0,0,0,1,
Halt and Catch Fire,2014,16+,8.4,90%,1,0,0,0,1,
Grace and Frankie,2015,7+,8.3,89%,1,0,0,0,1,
NCIS,2003,16+,7.8,40%,1,0,0,0,1,
Weeds,2005,18+,7.9,70%,1,0,0,0,1,
GLOW,2017,18+,8,93%,1,0,0,0,1,
Person of Interest,2011,16+,8.4,,1,0,0,0,1,
13 Reasons Why,2017,18+,7.8,39%,1,0,0,0,1,
Godless,2017,16+,8.3,85%,1,0,0,0,1,
Locked Up,2015,16+,8.3,100%,1,0,0,0,1,
Mushi-Shi,2005,16+,8.5,100%,1,1,1,0,1,
Gossip Girl,2008,16+,7.4,84%,1,0,0,0,1,
Unbreakable Kimmy Schmidt,2015,16+,7.6,96%,1,0,0,0,1,
Lost in Space,2018,7+,7.3,75%,1,0,0,0,1,
Scandal,2012,16+,7.7,93%,1,0,0,0,1,
Hunter x Hunter,2011,16+,8.9,,1,1,0,0,1,
One Day at a Time,2017,7+,8.2,99%,1,0,0,0,1,
DC's Legends of Tomorrow,2016,16+,6.8,87%,1,0,0,0,1,
Manhunt,2017,16+,8.1,93%,1,0,0,0,1,
Naruto,2002,7+,8.3,,1,1,0,0,1,
Charmed,1998,16+,7.1,75%,1,0,0,0,1,
The Dragon Prince,2018,7+,8.4,100%,1,0,0,0,1,
Locke & Key,2020,16+,7.4,67%,1,0,0,0,1,
Alias Grace,2017,18+,7.8,99%,1,0,0,0,1,
American Vandal,2017,16+,8.2,97%,1,0,0,0,1,
Santa Clarita Diet,2017,18+,7.8,89%,1,0,0,0,1,
Maniac,2018,16+,7.8,85%,1,0,0,0,1,
Star Trek: Deep Space Nine,1993,7+,7.9,90%,1,1,1,0,1,
The Dark Crystal: Age of Resistance,2019,7+,8.5,87%,1,0,0,0,1,
Colony,2016,16+,7.4,92%,1,0,0,0,1,
Wild Wild Country,2018,16+,8.2,98%,1,0,0,0,1,
Rectify,2013,16+,8.3,95%,1,0,0,0,1,
Pose,2018,16+,8.6,96%,1,0,0,0,1,
Marvel's Luke Cage,2016,18+,7.3,87%,1,0,0,0,1,
Hollywood,2020,18+,7.7,57%,1,0,0,0,1,
Derry Girls,2018,16+,8.4,97%,1,0,0,0,1,
Dark Matter,2015,18+,7.5,89%,1,0,0,0,1,
On My Block,2018,16+,8.1,97%,1,0,0,0,1,
Law & Order: Special Victims Unit,1999,16+,8,,1,1,1,0,1,
Longmire,2012,16+,8.3,88%,1,0,0,0,1,
The Tudors,2007,18+,8.1,69%,1,0,0,0,1,
HAPPY!,2017,18+,8.2,84%,1,0,0,0,1,
The Stranger,2020,16+,7.3,89%,1,0,0,0,1,
Call the Midwife,2012,7+,8.4,89%,1,0,0,0,1,
Into the Night,2020,18+,7.2,83%,1,0,0,0,1,
Mystery Science Theater 3000,1988,7+,8.5,80%,1,1,0,0,1,
Resurrection: Ertugrul,2014,16+,7.7,,1,0,0,0,1,
The Inbetweeners,2008,18+,8.4,54%,1,0,0,0,1,
Reign,2013,16+,7.5,86%,1,0,0,0,1,
Extras,2005,16+,8.3,89%,1,0,1,0,1,
The Kominsky Method,2018,18+,8.2,90%,1,0,0,0,1,
The 4400,2004,7+,7.3,95%,1,0,0,0,1,
The Borgias,2011,18+,7.9,85%,1,0,0,0,1,
Marco Polo,2014,18+,8,67%,1,0,0,0,1,
Queer Eye,2018,16+,8.5,91%,1,0,0,0,1,
The Spy,2019,18+,7.9,86%,1,0,0,0,1,
Love,2016,18+,7.7,94%,1,0,0,0,1,
Designated Survivor,2016,7+,7.5,71%,1,0,0,0,1,
Ripper Street,2012,18+,8.1,100%,1,0,0,0,1,
Feel Good,2020,,7.5,100%,1,0,0,0,1,
Hell on Wheels,2011,16+,8.3,72%,1,0,0,0,1,
The Fosters,2013,16+,7.9,97%,1,0,0,0,1,
Hawaii Five-0,2010,16+,7.3,82%,1,0,0,0,1,
Marvel's The Defenders,2017,18+,7.3,78%,1,0,0,0,1,
Allo 'Allo!,1984,7+,8.3,,1,0,0,0,1,
Supergirl,2015,7+,6.3,88%,1,0,0,0,1,
Star Trek: Voyager,1995,7+,7.8,77%,1,1,1,0,1,
Limitless,2015,16+,7.7,57%,1,0,0,0,1,
Messiah,2020,18+,7.7,44%,1,0,0,0,1,
The Shannara Chronicles,2016,16+,7.2,77%,1,0,0,0,1,
Crash Landing on You,2019,16+,8.8,,1,0,0,0,1,
Bleach,2004,18+,8.1,,1,1,0,0,1,
Top Boy,2011,18+,8.4,95%,1,0,0,0,1,
Jonathan Strange & Mr Norrell,2015,16+,8.2,91%,1,0,0,0,1,
Haven,2010,16+,7.5,63%,1,0,0,0,1,
Queen of the South,2016,16+,7.9,66%,1,0,0,0,1,
Delhi Crime,2019,,8.5,91%,1,0,0,0,1,
Hart of Dixie,2011,7+,7.7,81%,1,0,0,0,1,
Bloodline,2015,18+,8,62%,1,0,0,0,1,
Middleditch & Schwartz,2020,18+,8.7,100%,1,0,0,0,1,
Haikyu!!,2014,16+,8.7,,1,1,0,0,1,
Dirty Money,2018,16+,8.1,100%,1,0,0,0,1,
Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8.1,67%,1,0,0,0,1,
Babylon Berlin,2017,18+,8.4,,1,0,0,0,1,
That '70s Show,1998,16+,8.1,,1,0,0,0,1,
The Magicians,2015,16+,7.6,,1,0,0,0,1,
Chef's Table,2015,all,8.6,100%,1,0,0,0,1,
TURN: Washington's Spies,2014,16+,8.1,81%,1,0,0,0,1,
Crazy Ex-Girlfriend,2015,16+,7.8,98%,1,0,0,0,1,
Soul Eater,2008,16+,7.8,100%,1,1,0,0,1,
Lost Girl,2010,16+,7.7,65%,1,0,0,0,1,
Wynonna Earp,2016,16+,7.4,93%,1,0,0,0,1,
Merlin,2008,7+,7.9,,1,1,1,0,1,
Galavant,2015,7+,8.1,89%,1,0,0,0,1,
Travelers,2016,16+,8.1,,1,0,0,0,1,
Hilda,2018,7+,8.6,100%,1,0,0,0,1,
