Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,
Don't Call Me Crazy,2013,,7.5,,1,0,0,0,1,
Taco Chronicles,2019,7+,8.5,,1,0,0,0,1,
The Big Family Cooking Showdown,2017,7+,7.1,,1,0,0,0,1,
Inhuman Resources,2020,,7.1,,1,0,0,0,1,
Fearless,2016,,7.1,,1,0,0,0,1,
Archibald's Next Big Thing,2019,7+,7.7,,1,0,0,0,1,
Killer Women with Piers Morgan,2016,,6.5,,1,0,0,0,1,
Memory Love,2017,,8.2,,1,0,0,0,1,
Minute to Win It,2010,7+,5.1,,1,0,0,0,1,
Wildest Islands,2012,,8.1,,1,0,1,0,1,
Buddy Thunderstruck,2017,7+,7.6,,1,0,0,0,1,
West Coast Customs,2011,,6.1,,1,0,1,0,1,
Ice Road Rescue,2015,,8.6,,1,0,0,0,1,
Cain and Abel,2009,,7.7,,1,0,0,0,1,
Bernard,2006,7+,6.1,,1,0,1,0,1,
Monkey Life,2007,,8.8,,1,0,0,0,1,
Strawberry Shortcake,2003,all,4.8,,1,0,0,0,1,
Los heroes del norte,2011,16+,7.2,,1,0,0,0,1,
Big Bad Beetleborgs,1996,7+,6.3,,1,0,0,0,1,
Moving On,2009,,7.3,,1,0,1,0,1,
Beat Bugs,2016,all,7.6,,1,0,0,0,1,
Basketball or Nothing,2019,7+,7.5,,1,0,0,0,1,
The Iliza Shlesinger Sketch Show,2020,18+,4.8,,1,0,0,0,1,
Netflix Presents: The Characters,2016,,5.1,,1,0,0,0,1,
Days We Stared at the Sun,2010,16+,7.9,,1,0,0,0,1,
Julie's Greenroom,2017,,8.3,,1,0,0,0,1,
13 Reasons Why: Beyond the Reasons,2017,18+,6.5,,1,0,0,0,1,
La Ley secreta,2018,,7.4,,1,0,0,0,1,
Dinotrux,2015,7+,7,,1,0,0,0,1,
Talking Tom and Friends,2014,all,6.2,,1,0,0,0,1,
Re:Mind,2017,18+,5,,1,0,0,0,1,
Diamond Lover,2015,,6.2,,1,0,0,0,1,
Outback Truckers,2012,,7.5,,1,0,0,0,1,
Astronomy Club: The Sketch Show,2019,18+,6.9,,1,0,0,0,1,
MegaTruckers,2012,,6.9,,1,0,0,0,1,
The Fix,2018,18+,7.1,,1,0,0,0,1,
The World's War: Forgotten Soldiers of Empire,2014,,7.6,,1,0,0,0,1,
Rostered On,2017,16+,8.4,,1,0,0,0,1,
ThirtTEEN Terrors,2014,16+,6.9,,1,0,0,0,1,
Molang,2015,all,8.4,,1,0,1,0,1,
The Lies Within,2019,,6.7,,1,0,0,0,1,
Homes By the Sea,2014,,8.2,,1,0,0,0,1,
Samantha!,2018,7+,6.5,,1,0,0,0,1,
Hero Mask,2018,16+,6.2,,1,0,0,0,1,
First and Last,2018,18+,6.8,,1,0,0,0,1,
Extraterrestrial,2014,,5,30%,1,0,0,0,1,
Loving Ibiza: Series,2013,,5.7,,1,0,0,0,1,
Witch Hunt: A Century of Murder,2015,18+,7.1,,1,0,0,0,1,
Close Your Eyes Before It's Dark,2016,,7.2,,1,0,0,0,1,
Possessed,2019,,6.9,,1,0,0,0,1,
Shine On with Reese,2018,,7.6,,1,0,0,0,1,
My Sassy Girl,2017,,7,,1,0,0,0,1,
Dirt Every Day,2013,,8.2,,1,0,0,0,1,
Haunted,2018,18+,4.5,,1,0,0,0,1,
Mother Goose Club,2010,,7.4,,1,0,1,0,1,
The Horn,2016,,8.4,,1,0,0,0,1,
Supervolcano,2005,7+,6.7,,1,0,0,0,1,
Yu-Gi-Oh! Zexal,2011,7+,4.8,,1,1,1,0,1,
Friday Night Tykes,2014,16+,6.8,,1,0,0,0,1,
Horrid Henry,2006,7+,6.1,,1,0,1,0,1,
Go Back To Where You Came From,2011,18+,8.1,,1,0,0,0,1,
Swift and Shift Couriers,2008,18+,7.6,,1,0,0,0,1,
Bare Knuckle Fight Club,2017,,6.9,,1,0,0,0,1,
Kuromukuro,2016,16+,7.2,,1,0,0,0,1,
Booba,2014,all,7.1,,1,0,1,0,1,
Burnistoun,2009,16+,7.9,,1,0,0,0,1,
Rosario Tijeras,2016,,5.9,,1,0,0,0,1,
Project Mc²,2015,all,6,,1,0,0,0,1,
Campus,2009,16+,7.4,,1,0,0,0,1,
Historical Roasts,2019,18+,5.3,,1,0,0,0,1,
Total Drama Action,2009,7+,,,1,0,0,0,1,
Goldie & Bear,2015,all,6.4,,1,0,0,0,1,
45 RPM,2019,16+,7.3,,1,0,0,0,1,
Turbo FAST,2013,7+,6.6,,1,0,0,0,1,
Storage Wars: Northern Treasures,2017,18+,5.7,,1,0,1,0,1,
What Happens to My Family?,2014,,8.4,,1,0,0,0,1,
Inside the Criminal Mind,2018,18+,5.4,,1,1,0,0,1,
Estocolmo,2016,18+,5.8,,1,0,0,0,1,
Bala Loca,2016,,8.1,,1,0,0,0,1,
Ingress: The Animation,2018,all,6.5,,1,0,0,0,1,
Nature's Weirdest Events,2012,all,6.8,,1,0,0,0,1,
My Little Pony: Equestria Girls,2017,all,6.5,,1,0,0,0,1,
Snow Wolf Family and Me,2014,all,8.2,,1,0,0,0,1,
The Good Cop,2015,,7.5,,1,0,0,0,1,
Monty Python's Fliegender Zirkus,1972,,8.2,,1,0,0,0,1,
My Only Love Song,2017,,6.7,,1,0,0,0,1,
21 Thunder,2017,18+,6.2,,1,0,0,0,1,
Sugar Rush Christmas,2019,,6.8,,1,0,0,0,1,
Tong: Memories,2016,7+,7.7,,1,0,0,0,1,
Smoking,2018,18+,7.5,,1,0,0,0,1,
Heavy Rescue: 401,2017,7+,6.9,,1,0,0,0,1,
LEGO Friends,2012,all,5.2,,1,1,1,0,1,
Fall In Love With Me,2014,,7.1,,1,0,0,0,1,
Bat Pat,2016,,,,1,0,1,0,1,
Ainori Love Wagon: Asian Journey,2017,,6.9,,1,0,0,0,1,
The Magic School Bus Rides Again,2017,all,6.2,,1,0,0,0,1,
Criminal: Germany,2019,,,,1,0,0,0,1,
Strawberry Shortcake's Berry Bitty Adventures,2010,all,6.1,,1,0,0,0,1,
Wonders of the Monsoon,2014,,8.1,,1,0,0,0,1,
Hyori's Bed and Breakfast,2017,,8.5,,1,0,0,0,1,
The Prince Who Turns into a Frog,2005,,7.2,,1,0,0,0,1,
Love O2O,2016,16+,8,,1,0,0,0,1,
Zig and Sharko,2011,all,6.8,,1,0,0,0,1,
Some Assembly Required,2014,all,3.5,,1,0,1,0,1,
Anjaan: Rural Myths,2018,,6.1,,1,0,0,0,1,
Afflicted,2018,18+,4.9,,1,0,0,0,1,
Baby Daddy,2015,16+,6,78%,1,0,0,0,1,
Romance of Our Parents,2014,,7.6,,1,0,0,0,1,
Fantastic,2016,16+,7.3,,1,0,0,0,1,
Strong,2016,7+,7.3,,1,0,0,0,1,
Battlefish,2018,,7.2,,1,0,0,0,1,
VeggieTales in the City,2017,,6.1,,1,0,0,0,1,
Chug,2014,,8.1,,1,0,0,0,1,
Grizzy & the Lemmings,2016,all,6.6,,1,0,0,0,1,
Six Windows in the Desert,2020,,3.9,,1,0,0,0,1,
Apaches,2015,18+,6.9,,1,0,0,0,1,
Crime Diaries: Night Out,2019,,7.8,,1,0,0,0,1,
Puerta 7,2020,18+,5.5,,1,0,0,0,1,
Pacto de Sangue,2018,,7,,1,0,0,0,1,
Lockdown,2006,7+,7.3,,1,0,0,0,1,
Fate/EXTRA Last Encore,2018,18+,5.3,,1,0,0,0,1,
Living Undocumented,2019,18+,6.3,,1,0,0,0,1,
Dawn of the Croods,2015,7+,5.9,,1,0,0,0,1,
Spirit Riding Free: Riding Academy,2020,,7.1,,1,0,0,0,1,
The New Adventures of Figaro Pho,2015,all,7.1,,1,1,0,0,1,
StarBeam,2020,,7.2,,1,0,0,0,1,
Goodbye Mr. Black,2016,,6.8,,1,0,0,0,1,
Monster Fish,2007,,6.7,,1,1,0,0,1,
Ocean Mysteries with Jeff Corwin,2011,all,8.2,,1,0,1,0,1,
Spectros,2020,18+,4.4,,1,0,0,0,1,
revisions,2019,18+,6.1,,1,0,0,0,1,
The Mortified Guide,2018,18+,7.8,,1,0,0,0,1,
Dragons: Rescue Riders,2019,7+,6.4,,1,0,0,0,1,
Conspiracy,2015,,6.3,,1,0,0,0,1,
Real Rob,2015,18+,6.4,,1,0,0,0,1,
Too Young to Die,2012,,7.2,,1,0,0,0,1,
World's Busiest Cities,2017,,7.3,,1,0,0,0,1,
White Nights,2016,,7,,1,0,0,0,1,
Canada's Worst Handyman,2006,7+,4.6,,1,0,0,0,1,
A Taiwanese Tale of Two Cities,2018,,6.3,,1,0,0,0,1,
Hotel Transylvania,2017,7+,5.3,,1,0,0,0,1,
Tales of Irish Castles,2015,7+,7.3,,1,0,0,0,1,
India's Frontier Railways,2015,,7.9,,1,0,0,0,1,
Prisoner Zero,2016,,7.8,,1,0,0,0,1,
Sniffer,2013,,6.6,,1,0,1,0,1,
Magmel of the Sea Blue,2019,7+,6.2,,1,0,0,0,1,
Razia Sultan,2015,,5.7,,1,0,0,0,1,
Really Me!,2011,,5.3,,1,0,0,0,1,
The Unremarkable Juanquini,2020,16+,4.1,,1,0,0,0,1,
The Who Was? Show,2018,,6.5,,1,0,0,0,1,
Age of Rebellion,2018,,8.6,,1,0,0,0,1,
Lo que la verdad esconde: El caso Asunta,2017,16+,7.4,,1,0,0,0,1,
Castlevania: Hymn of Blood,2012,18+,7.8,,1,0,0,0,1,
Age of Glory,2016,,7.7,,1,0,0,0,1,
We Speak Dance,2018,7+,7.5,,1,0,0,0,1,
Ninja Turtles: The Next Mutation,1997,7+,4.4,,1,0,0,0,1,
Don't Watch This,2018,16+,3.2,,1,0,0,0,1,
Saving Mrs. Go Bong Shil,2011,,7.5,,1,0,0,0,1,
The Mekong River with Sue Perkins,2014,,7.7,,1,0,0,0,1,
Monty Python's Personal Best,2006,16+,8,,1,0,0,0,1,
Fire Chasers,2017,,6.6,,1,0,0,0,1,
Ainori Love Wagon: African Journey,2020,,7.4,,1,0,0,0,1,
Pacific Heat,2016,16+,5.7,17%,1,0,0,0,1,
72 Dangerous Places to Live,2016,18+,6.4,,1,0,0,0,1,
A Cook Abroad,2015,,7.4,,1,0,0,0,1,
The Investigator: A British Crime Story,2016,,5.7,,1,0,0,0,1,
Mythomanic,2019,,6.8,,1,0,0,0,1,
Club de Cuervos Presents: The Ballad of Hugo Sánchez,2018,18+,6.6,,1,0,0,0,1,
Hello Ninja,2019,all,7.5,,1,0,0,0,1,
Murderous Affairs,2016,16+,6.7,,1,0,0,0,1,
Exhibit A,2019,18+,6.2,,1,0,0,0,1,
Extreme Engagement,2019,18+,5.5,,1,0,0,0,1,
Cupcake & Dino - General Services,2018,7+,7.5,,1,0,0,0,1,
Earth to Luna!,2014,all,7.4,,1,0,1,0,1,
The Great Escape,2012,,5.8,,1,0,0,0,1,
Can We Get Married?,2012,,6.7,,1,0,0,0,1,
Super Monsters,2017,all,6.7,,1,0,0,0,1,
HaMossad: Sipur Kisuy,2017,,7.6,,1,0,0,0,1,
Lucid Dream,2017,,6.1,,1,0,0,0,1,
Death by Magic,2018,7+,6.1,,1,0,0,0,1,
Khotey Sikkey,2011,7+,7.3,,1,0,0,0,1,
Japanese Style Originator,2008,,8.2,,1,0,0,0,1,
Singles Villa,2015,,7.5,,1,0,0,0,1,
I Am the Ambassador,2014,,7.2,,1,0,0,0,1,
The Degenerates,2018,18+,6.1,,1,0,0,0,1,
Larry Charles' Dangerous World of Comedy,2019,18+,7.3,,1,0,0,0,1,
Boca Juniors Confidential,2018,all,6.5,,1,0,0,0,1,
Under Arrest,2016,16+,7.3,,1,0,0,0,1,
"Three Wives, One Husband",2018,,6.5,,1,0,0,0,1,
ReBoot: The Guardian Code,2018,7+,3.7,,1,0,0,0,1,
Bangkok รัก Stories 2 ตอน ไม่เดียงสา,2018,,6.9,,1,0,0,0,1,
The Road Trick,2017,,6.8,,1,0,0,0,1,
Julius Jr.,2014,,5.4,,1,0,0,0,1,
Becoming Champions,2018,all,6.7,,1,0,0,0,1,
Carver Kings,2015,7+,8.2,,1,0,0,0,1,
YG Future Strategy Office,2018,7+,7.1,,1,0,0,0,1,
The Many Faces of Ito,2017,,6.7,,1,0,0,0,1,
Age Gap Love,2014,,5.8,,1,0,0,0,1,
Three Days of Christmas,2019,18+,6.8,,1,0,0,0,1,
Empire Games,2018,7+,5.6,,1,0,0,0,1,
All About the Washingtons,2018,all,4.2,40%,1,0,0,0,1,
Nurses Who Kill,2016,,5.9,,1,0,1,0,1,
Black Hollywood: 'They've Gotta Have Us',2018,,7.4,,1,0,0,0,1,
Team Kaylie,2019,,4.2,,1,0,0,0,1,
Lo Que la Vida Me Robó,2013,,,,1,0,0,0,1,
Wake Up,2015,,7,,1,0,0,0,1,
Dino Girl Gauko,2019,7+,7.1,,1,0,0,0,1,
Liquid Science,2017,,6.4,,1,0,0,0,1,
Ocean Giants,2011,,8.2,,1,0,0,0,1,
Idiotest,2014,7+,5.7,,1,0,0,0,1,
Jamie and Jimmy's Food Fight Club,2012,,6.9,,1,0,0,0,1,
Drug Squad: Costa del Sol,2019,,6.6,,1,0,0,0,1,
Skin Wars: Fresh Paint,2016,16+,6.2,,1,0,0,0,1,
A Thousand Goodnights,2019,,,,1,0,0,0,1,
My Runway,2016,7+,6.2,,1,0,0,0,1,
Africa's Deadliest,2011,,6.9,,1,0,0,0,1,
The Rap Game,2016,7+,5.3,,1,1,0,0,1,
Mob Psycho 100,2018,all,5.1,,1,0,0,0,1,
Flinch,2019,7+,4,,1,0,0,0,1,
Afghanistan: The Great Game,2012,,7.6,,1,0,0,0,1,
Dinotrux: Supercharged,2017,7+,7.1,,1,0,0,0,1,
"Noddy, Toyland Detective",2016,all,7,,1,0,0,0,1,
Inspector Gadget,2015,all,4.4,,1,0,0,0,1,
Singapore Social,2019,,6.6,,1,0,0,0,1,
Camelia La Texana,2014,,7.6,,1,0,0,0,1,
Word Party,2016,all,6.2,,1,0,0,0,1,
Weekend Aristocrats,2013,,,,1,0,0,0,1,
Clangers,2015,,7.7,,1,0,0,0,1,
Hoff the Record,2015,16+,6.9,,1,0,1,0,1,
Bindi's Bootcamp,2012,,6.2,,1,0,0,0,1,
Best.Worst.Weekend.Ever.,2018,7+,6.3,,1,0,0,0,1,
Slobby's World,2017,,5.8,,1,0,0,0,1,
Chosen,2018,,5.5,,1,0,0,0,1,
Popples,1986,all,6.4,,1,0,0,0,1,
The Goop Lab,2020,18+,2.3,31%,1,0,0,0,1,
The Hairy Bikers' Asian Adventure,2014,7+,6.9,,1,0,0,0,1,
The Fierce Wife,2010,16+,6.7,,1,0,0,0,1,
Top 10 Secrets and Mysteries,2016,7+,5.1,,1,0,0,0,1,
The Gods of Wheat Street,2014,,8.2,,1,0,0,0,1,
Brown Nation,2016,,6.9,,1,0,0,0,1,
Charlie's Colorforms City,2019,all,8,,1,0,0,0,1,
Tayee,2018,,8.1,,1,0,0,0,1,
El Cartel 2,2010,16+,6.8,,1,0,0,0,1,
Westside,2018,16+,5.8,20%,1,0,0,0,1,
What is Love,2012,,7,,1,0,0,0,1,
The Little Nyonya,2008,,,,1,0,0,0,1,
Traffic Cops,2003,,7.2,,1,0,0,0,1,
44 Cats,2019,,6.4,,1,0,0,0,1,
Ghost Town Gold,2012,,7,,1,0,0,0,1,
Clash of the Collectables,2017,,7.3,,1,0,0,0,1,
The In-Laws,2003,13+,5.7,34%,1,0,0,0,1,
Border Patrol,2002,7+,,,1,0,0,0,1,
Last Hope,2018,16+,5.8,,1,0,0,0,1,
The Hollywood Masters,2017,,7.1,,1,0,0,0,1,
Birdie Buddy,2011,7+,7.4,,1,0,0,0,1,
The Paper,2008,,6.5,,1,0,0,0,1,
Home: Adventures with Tip & Oh,2016,7+,5.8,,1,0,0,0,1,
The Motorbike Show,2011,,8.4,,1,0,0,0,1,
"Love, Now",2007,,6.1,,1,0,0,0,1,
My Husband Won't Fit,2019,,6.7,,1,0,0,0,1,
Rimba Racer,2015,,8.1,,1,0,0,0,1,
Court Justice: Sydney,2017,,7,,1,0,0,0,1,
The Casketeers,2018,16+,7.1,,1,0,0,0,1,
Kong: King of the Apes,2016,7+,5.8,,1,0,0,0,1,
The Dandy,2015,all,5.9,,1,0,0,0,1,
Panda and Hedgehog,2012,,6.1,,1,0,0,0,1,
A Man Called God,2010,,5.8,,1,0,0,0,1,
The Judgement,2018,,6.8,,1,0,0,0,1,
Animal Airport,2012,,7.9,,1,0,0,0,1,
Eugenie Nights - ليالي أوجيني,2018,16+,7.6,,1,0,0,0,1,
Nailed It! France,2019,,6.4,,1,0,0,0,1,
Cromo,2015,16+,6.8,,1,0,0,0,1,
House Doctor,1998,,4.8,,1,0,0,0,1,
The Last Nazis,2009,7+,6.6,,1,0,0,0,1,
Crime Time,2018,,6.6,,1,0,0,0,1,
Happy Jail,2019,18+,8,,1,0,0,0,1,
All About Love,2010,,6.3,,1,0,0,0,1,
Blazing Transfer Students,2017,,7.3,,1,0,0,0,1,
72 Cutest Animals,2016,,5.7,,1,0,0,0,1,
The Unknown Hitman: The Story of El Cholo Adrián,2017,,7.2,,1,0,0,0,1,
Terrorism Close Calls,2018,,5.8,,1,0,0,0,1,
Robocar Poli,2011,,6.4,,1,0,0,0,1,
La Esquina del Diablo,2015,,7.8,,1,0,0,0,1,
Gunslinger Girl: Il Teatrino,2008,16+,7,,1,0,0,0,1,
Agent,2019,,6.4,,1,0,0,0,1,
Voice,2009,,7.4,,1,0,0,0,1,
Mahi Way,2010,,7.8,,1,0,0,0,1,
Narcoworld: Dope Stories,2019,,6.6,,1,0,0,0,1,
The Good Bandit,2019,18+,7.4,,1,0,0,0,1,
Reno My Reno,2015,,8.3,,1,0,0,0,1,
Follow This,2018,18+,4.8,,1,0,0,0,1,
Fugitiva,2018,18+,5.6,,1,0,0,0,1,
Jack Hanna's Into the Wild,2007,,7.7,,1,1,0,0,1,
Tijuana,2019,16+,7.1,,1,0,0,0,1,
No Time for Shame,2019,,5.3,,1,0,0,0,1,
Lily's Driftwood Bay,2014,all,7.9,,1,0,0,0,1,
Blood & Treasures,2016,,8,,1,0,0,0,1,
Tamra Island,2009,16+,7.5,,1,0,0,0,1,
Polly Pocket,2018,7+,6.4,,1,1,0,0,1,
Tiffany Haddish Presents: They Ready,2019,,6.3,,1,0,0,0,1,
Delhis vackraste händer,2017,,7,,1,0,0,0,1,
Edge of the Universe,2002,,,,1,0,0,0,1,
Tempel,2016,,7,,1,0,0,0,1,
Street Fighter,1995,,5.9,,1,0,0,0,1,
In Family We Trust,2018,,8,,1,0,0,0,1,
The Naked Truth,2016,16+,6.6,,1,0,0,0,1,
Premier League Legends,2014,,,,1,0,0,0,1,
The Dearest Lady,2015,,6.4,,1,0,0,0,1,
Masha's Tales,2016,all,,,1,0,0,0,1,
Cloudy with a Chance of Meatballs,2017,all,3.3,,1,0,0,0,1,
Corazón Valiente,2017,,,,1,1,0,0,1,
Back Street Girls: Goku Dolls,2018,,6.6,,1,0,0,0,1,
Battlefield Recovery,2016,,6.5,,1,0,1,0,1,
Non Summit,2014,,7.2,,1,0,0,0,1,
Green Door,2019,18+,6.1,,1,0,0,0,1,
Nailed It! Germany,2020,,5.6,,1,0,0,0,1,
Ruta 35,2016,,7.4,,1,0,0,0,1,
After the Raves,2016,,5.9,,1,0,0,0,1,
Simon,1995,all,7.3,,1,0,0,0,1,
Daughters of Destiny,2017,,,,1,0,0,0,1,
Monty Python's Best Bits (mostly),2014,,7.5,,1,0,0,0,1,
Cooking on High,2018,,4.9,,1,0,0,0,1,
What's for Sale? With a View,2015,,6.8,,1,0,0,0,1,
Ella the Elephant,2013,,,,1,0,0,0,1,
Inside the Freemasons,2017,,5.5,,1,0,0,0,1,
Stand Up and Away! with Brian Regan,2018,16+,5.8,,1,0,0,0,1,
Poh & Co,2015,,7.4,,1,0,0,0,1,
The Cravings,2017,,7.2,,1,0,0,0,1,
ARASHI's Diary -Voyage-,2019,,6,,1,0,0,0,1,
Styling Hollywood,2019,16+,7.3,,1,0,0,0,1,
The Crime,2015,,6.2,,1,0,0,0,1,
Mega Builders,2010,,7,,1,0,0,0,1,
Edha,2018,18+,4.7,,1,0,0,0,1,
Hidden Singer,2012,,6.2,,1,0,0,0,1,
Cold Water Cowboys,2015,,6.9,,1,0,0,0,1,
StoryBots Super Songs,2016,,8.4,,1,0,0,0,1,
Alien Deep with Bob Ballard,2012,,6.7,,1,0,0,0,1,
Love At Seventeen,2016,,6.4,,1,0,0,0,1,
"Food, Booze & Tattoos",2015,,7,,1,0,0,0,1,
Nailed It! Mexico,2019,,6.3,,1,0,0,0,1,
Pororo the Little Penguin,2003,all,5.8,,1,1,1,0,1,
Winsanity,2016,,6.1,,1,0,0,0,1,
YooHoo to the Rescue,2019,all,6.6,,1,0,0,0,1,
Llama Llama,2018,all,6.1,,1,0,0,0,1,
Care Bears: Welcome to Care-a-Lot,2012,all,5.4,,1,0,0,0,1,
Monkey Twins,2018,,7.6,,1,0,0,0,1,
Richie Rich,2015,all,3.2,,1,0,0,0,1,
Bad Trips Abroad,2013,,5.1,,1,0,0,0,1,
Auntie Duohe,2009,,8.5,,1,0,0,0,1,
El Vato,2016,,6.7,,1,0,0,0,1,
Dariba Diaries,2014,,7,,1,0,0,0,1,
Justin Time,2011,all,6.7,,1,0,0,0,1,
Devlok with Devdutt Pattanaik,2015,all,8.1,,1,0,0,0,1,
Buddi,2020,,8.2,,1,0,0,0,1,
Top 10 Architecture,2016,all,7,,1,0,0,0,1,
Lookalikes,2016,,6.2,,1,0,0,0,1,
Ponysitters Club,2018,,6.7,,1,0,0,0,1,
The Ollie & Moon Show,2017,all,8.2,,1,0,0,0,1,
Vai Anitta,2018,,5.3,,1,0,0,0,1,
P. King Duckling,2018,all,6.2,,1,0,0,0,1,
Lion Pride,2017,,7.3,,1,0,0,0,1,
Love and Fortune,2018,,7.5,,1,0,0,0,1,
Women Behind Bars,2008,16+,6.5,,1,0,0,0,1,
Oh Yuck!,2017,,7.4,,1,0,0,0,1,
Bible's Buried Secrets,2011,all,5.2,,1,0,0,0,1,
Emergency,2015,16+,7.5,,1,0,0,0,1,
Fifty,2017,,8.5,,1,0,0,0,1,
Psiconautas,2015,,7,,1,0,0,0,1,
Station Horizon,2015,7+,7.2,,1,0,0,0,1,
The Sound of Your Heart: Reboot,2018,7+,5.6,,1,0,0,0,1,
Maya the Bee,2013,all,5.7,,1,0,0,0,1,
I Am Me!,2015,,8.2,,1,0,0,0,1,
Unplanned America,2014,,7.8,,1,0,1,0,1,
Care Bears and Cousins,2015,all,6.7,,1,0,0,0,1,
H2O - Abenteuer Meerjungfrau,2015,7+,6,,1,0,0,0,1,
Prince of Peoria,2018,all,5.4,,1,0,0,0,1,
Hunters of the South Seas,2015,,8.1,,1,0,0,0,1,
Whisker Wars,2011,,5.4,,1,0,0,0,1,
Harvey Street Kids,2018,7+,6.1,,1,0,0,0,1,
LEGO Elves,2017,,6.5,,1,0,0,0,1,
Chuck & Danny's Road Trip,2017,,6.9,,1,0,0,0,1,
Serial Killer with Piers Morgan,2017,,3.7,,1,0,0,0,1,
Scams,2019,,6.2,,1,0,0,0,1,
Martin Clunes: A Man and His Dogs,2008,,7.9,,1,0,0,0,1,
Sadqay Tumhare,2014,7+,7.4,,1,0,0,0,1,
Rebel Without a Kitchen,2013,,5.6,,1,0,0,0,1,
Scaredy Squirrel,2011,all,4.1,,1,0,0,0,1,
True and the Rainbow Kingdom,2017,all,6.9,,1,0,0,0,1,
Yoko,2016,,7.1,,1,0,0,0,1,
Larva,2011,all,7.4,,1,0,0,0,1,
The Bear Family and Me,2011,,8.2,,1,0,0,0,1,
ID-0,2017,16+,6,,1,0,0,0,1,
Super 4,2014,,7.1,,1,0,0,0,1,
Tayo the Little Bus,2010,,5.5,,1,1,1,0,1,
Bo on the Go!,2007,all,5.2,,1,0,0,0,1,
Small Shots,2017,18+,7,,1,0,0,0,1,
Backroad Bounty,2014,,7.6,,1,0,0,0,1,
Cloroformo,2012,,7.5,,1,0,0,0,1,
Droppin' Cash: Los Angeles,2018,16+,3.5,,1,0,0,0,1,
Strong Woman Do Bong Soon,2017,,,,1,0,0,0,1,
Against the Tide,2014,,7.7,,1,0,0,0,1,
Littlest Pet Shop: A World of Our Own,2018,all,6.4,,1,0,0,0,1,
The Outsiders,2004,16+,7.4,,1,0,0,0,1,
Office Girls,2011,,6.6,,1,0,0,0,1,
Mega Food,2019,,6.5,,1,0,0,0,1,
Cabins in the Wild with Dick Strawbridge,2017,7+,6.6,,1,0,0,0,1,
Ask the Doctor,2017,,6.5,,1,0,0,0,1,
Cocaine,2005,,7,,1,0,0,0,1,
Black Crows,1983,,4.4,,1,0,0,0,1,
Inside the Mind of a Serial Killer,2015,,,,1,0,1,0,1,
Commandos,2013,,6.6,,1,0,0,0,1,
Jusqu'à l'Aube,2020,18+,3.4,,1,0,0,0,1,
Driven to Kill,2014,,6.4,,1,0,0,0,1,
Hairy Bikers: Chicken & Egg,2016,,6.6,,1,0,0,0,1,
Dwelling Narrowness,2009,,7.3,,1,0,0,0,1,
Transformers: Rescue Bots Academy,2019,all,6.8,,1,0,0,0,1,
Nailed It! Spain,2019,,5.4,,1,0,0,0,1,
Poppy Cat,2013,all,5.1,,1,0,0,0,1,
Happy 300 Days,2013,,4.3,,1,0,0,0,1,
Miss Rose,2012,all,6,,1,0,0,0,1,
Russell Peters vs. the World,2013,18+,5.5,,1,0,0,0,1,
Jojo's World,2017,,7.5,,1,0,0,0,1,
The Truth Seekers,2016,,7.5,,1,0,0,0,1,
Invizimals,2014,7+,5,,1,0,0,0,1,
Part-Time Idol,2017,7+,7.2,,1,0,0,0,1,
Secrets of the SAS: In Their Own Words,2016,,7.8,,1,0,0,0,1,
Tech Toys 360,2011,,8.3,,1,0,0,0,1,
Life Plan A and B,2017,7+,7.6,,1,0,0,0,1,
When I See You Again,2015,,7.1,,1,0,0,0,1,
Operation Proposal,2012,,6.6,,1,0,0,0,1,
Vinnie Jones' Toughest Cops,2009,,7,,1,0,1,0,1,
Tip the Mouse,2014,,6.5,,1,0,0,0,1,
Easy Fortune Happy Life,2009,,5.6,,1,0,0,0,1,
Mary Portas: Secret Shopper,2011,,6.6,,1,0,1,0,1,
Motorway Cops,2008,,6.2,,1,0,0,0,1,
Gordon Buchanan: Elephant Family & Me,2016,7+,7.7,,1,0,0,0,1,
Borges Importadora,2018,,6.2,,1,0,0,0,1,
Splash and Bubbles,2016,all,6.3,,1,0,0,0,1,
Unriddle,2012,,7.6,,1,0,0,0,1,
Yours Fatefully,2012,,6.5,,1,0,0,0,1,
Buy Herself,2012,,6.2,,1,0,0,0,1,
Hey Qween,2018,,5.8,,1,0,1,0,1,
Sammy & Co,2014,,5.8,,1,0,0,0,1,
YooHoo & Friends (US),2012,all,6.1,,1,0,0,0,1,
Emogenius,2017,,3.8,,1,0,0,0,1,
Chip and Potato,2018,all,6.9,,1,0,0,0,1,
Love Me Or Leave Me,2012,,5.6,,1,0,0,0,1,
The Land of Hypocrisy,2018,,7.3,,1,0,0,0,1,
LEGO Friends: Girls on a Mission,2018,all,7,,1,0,1,0,1,
Restaurant Australia,2015,,6,,1,0,0,0,1,
Sports on Fire,2015,,7.6,,1,0,0,0,1,
Yummy Mummies,2017,7+,4,,1,0,0,0,1,
Robozuna,2018,7+,6,,1,0,0,0,1,
Baby Animals in the Wild,2015,,7.7,,1,0,0,0,1,
Chasing Cameron,2016,7+,3.6,,1,0,0,0,1,
The Could’ve-Gone-All-the-Way Committee,2018,,7.1,,1,0,0,0,1,
Towies,2018,,,,1,0,0,0,1,
Juana Brava,2015,,7.1,,1,0,0,0,1,
Pinky Malinky,2019,7+,5.6,,1,0,0,0,1,
